,index,name,number_of_comment,brand,Negative,Positive,price,volume(l),number_of_door,rank_point,rank
73,75,Tủ lạnh Sharp Inverter 182 lít SJ-X201E-DS ,31,Sharp,0.31127038737035473,0.6887296126296454,4199000.0,196.0,2.0,21.350617991519005,289
74,76,Tủ lạnh Sharp Inverter 342 lít SJ-X346E-SL ,17,Sharp,0.3135298264004521,0.6864701735995479,6399000.0,342.0,2.0,11.669992951192313,248
75,77,Tủ Lạnh Inverter Electrolux EBB2802H-A (250L) - Hàng chính hãng ,7,Electrolux,0.212703481101961,0.7872965188980389,7090000.0,284.25,2.0,5.511075632286272,220
76,78,Tủ lạnh Hitachi Inverter 569 lít R-WB640VGV0-GMG - HÀNG CHÍNH HÃNG ,1,Hitachi,0.15121122376086124,0.8487887762391386,32990000.0,569.0,4.0,0.8487887762391386,32
77,79,Tủ lạnh Toshiba Inverter 233 lít GR-A28VM UKG (HÀNG CHÍNH HÃNG) ,3,Toshiba,0.08654532487403217,0.9134546751259679,5779000.0,274.25,1.75,2.740364025377904,188
78,80,Tủ lạnh Sharp Inverter 224 lít SJ-X251E-SL ,2,Sharp,0.16886388805662633,0.8311361119433736,4769000.0,241.0,2.0,1.6622722238867471,193
79,81,Tủ lạnh mini KEMIN (Dùng cả trên oto xe hơi và trong nhà) - Loại 10L ,1,OEM,0.15121122376086124,0.8487887762391386,1435000.0,51.0,1.0,0.8487887762391386,261
80,82,Tủ lạnh Inverter LG GN-L205WB (187L) - Hàng chính hãng - Chỉ giao tại Hà Nội ,7,LG,0.2228489939714398,0.77715100602856,4899000.0,205.0,2.0,5.44005704219992,247
81,83,Tủ Lạnh Inverter Aqua AQR-T219FA-PB (186L) - Hàng Chính Hãng - Chỉ giao tại HCM ,3,Aqua,0.15121122376086124,0.8487887762391386,4199000.0,186.0,2.0,2.546366328717416,228
82,84,Tủ lạnh Aqua Inverter 249 lít AQR-I248EN (HÀNG CHÍNH HÃNG) ,6,Aqua,0.07655912045185463,0.9234408795481454,4799000.0,241.0,2.0,5.540645277288872,232
83,85,Tủ Lạnh Inverter Samsung RT22M4032BU/SV (236L) - Hàng Chính Hãng - Chỉ Giao tại HCM ,2,Samsung,0.11932686619851393,0.880673133801486,5799000.0,236.0,1.75,1.761346267602972,200
84,86,Tủ Lạnh Inverter Beko RDNT250I50VZX (221L) - Hàng chính hãng ,1,Beko,0.29316693557747625,0.7068330644225237,5280000.0,250.0,2.0,0.7068330644225237,173
85,87,Tủ lạnh Sharp Inverter 165 lít SJ-X196E-DSS ,8,Sharp,0.21950671502680275,0.7804932849731971,4169000.0,180.0,2.0,6.243946279785577,258
86,88,Tủ lạnh Sharp Inverter 150 lít SJ-X176E-SL ,24,Sharp,0.37420840310352027,0.6257915968964796,4090000.0,170.75,2.0,15.01899832551551,285
87,89,Tủ lạnh LG Inverter 613 lít GR-B247JDS ,2,LG,0.10259566482671642,0.8974043351732834,15459000.0,679.0,2.0,1.7948086703465669,5
88,90,Tủ lạnh Beko 90 lít RS9050P ,18,Beko,0.33610010664179435,0.6638998933582059,2559000.0,70.0,1.0,11.950198080447706,286
89,91,Tủ Lạnh Inverter Samsung RB30N4010S8/SV (310L) - Hàng Chính Hãng ,7,Samsung,0.27107009217658684,0.728929907823413,7699000.0,310.0,2.0,5.102509354763892,199
90,92,Tủ lạnh Samsung Inverter 307 lít RB30N4170S8/SV ,6,Samsung,0.24917068855013116,0.750829311449869,11490000.0,307.0,2.0,4.504975868699214,190
91,93,Tủ Lạnh Inverter Sharp SJ-FX680V-ST (605L) - Hàng chính hãng ,3,Sharp,0.30536877994187706,0.694631220058123,16479000.0,678.0,4.0,2.0838936601743687,7
92,94,Tủ lạnh Panasonic Inverter 255 lít NR-BV280QSVN ,10,Panasonic,0.23652952264641006,0.76347047735359,8349000.0,306.5,2.0,7.6347047735358995,227
93,95,Tủ Lạnh Inverter Samsung RT25M4032BU/SV (256L) - Hàng Chính Hãng - Chỉ Giao tại HCM ,4,Samsung,0.12696151167830033,0.8730384883216996,6590000.0,256.0,2.0,3.4921539532867985,213
94,96,Tủ lạnh Sharp Inverter 224 lít SJ-X251E-SL ,10,Sharp,0.25053225930947043,0.7494677406905295,4810000.0,241.0,2.0,7.494677406905295,252
95,97,Tủ Lạnh Inverter Toshiba GR-A28VM-UKG (233L) - Hàng Chính Hãng - Chỉ Giao tại HCM ,3,Toshiba,0.2980874203115075,0.7019125796884925,5599000.0,233.0,1.75,2.1057377390654777,210
96,98,Tủ lạnh Panasonic Inverter 366 lít NR-BL381WKVN - HÀNG CHÍNH HÃNG ,1,Panasonic,0.2224315224866903,0.7775684775133097,12790000.0,366.0,2.0,0.7775684775133097,108
97,99,Tủ Lạnh Inverter Sharp SJ-X281E-SL (253L) - Hàng Chính Hãng ,12,Sharp,0.2582687985351396,0.7417312014648603,5290000.0,271.0,2.0,8.900774417578322,254
98,100,Tủ Lạnh Inverter Toshiba GR-B31VU-SK (253L) - Hàng Chính Hãng ,4,Toshiba,0.16929758567835643,0.8307024143216436,6090000.0,292.5,2.0,3.3228096572865744,182
99,101,Tủ Lạnh Inverter LG GN-D255BL (255L) – Hàng Chính Hãng ,7,LG,0.18948400939237747,0.8105159906076225,7390000.0,283.25,2.0,5.6736119342533575,222
100,102,Tủ lạnh Hitachi 375L SG38PGV9X (GBK) MÃU 2019 - HÀNG CHÍNH HÃNG ,2,Hitachi,0.1716741712580851,0.8283258287419148,16790000.0,611.0,3.0,1.6566516574838297,22
101,103,Tủ Lạnh AQUA Inverter 456 Lít AQR-IGW525EM GB - HÀNG CHÍNH HÃNG ,2,Aqua,0.15121122376086124,0.8487887762391386,18979000.0,599.75,4.0,1.6975775524782772,28
102,104,Tủ lạnh Samsung Inverter 208 lít RT20HAR8DBU/SV - HÀNG CHÍNH HÃNG ,1,Samsung,0.05421237543061766,0.9457876245693825,4950000.0,208.0,2.0,0.9457876245693825,209
103,105,Tủ Lạnh Inverter Mitsubishi Electric MR-CX35EM-BRW (272L) - Hàng Chính Hãng ,1,Mitsubishi Electric,0.5104458521020537,0.4895541478979463,10479000.0,358.5,2.5,0.4895541478979463,109
104,106,TỦ LẠNH HITACHI INVERTER R-FG560PGV8X (GBK) 450 LÍT- Hàng Chính Hãng ,4,Hitachi,0.157846568878673,0.8421534311213269,15590000.0,84.0,715.0,3.3686137244853076,207
105,106,TỦ LẠNH HITACHI INVERTER R-FG560PGV8X (GBK) 450 LÍT- Hàng Chính Hãng ,4,Hitachi,0.14953622977665448,0.8504637702233456,15590000.0,439.25,715.0,3.4018550808933825,34
106,107,Tủ lạnh Aqua Inverter 288 lít AQR-IW338EB BS - Hàng chính hãng ,1,Aqua,0.15121122376086124,0.8487887762391386,9499000.0,275.25,2.0,0.8487887762391386,162
107,109,Tủ lạnh Inverter LG GN-L205WB (187L) - Hàng chính hãng - Chỉ giao tại HCM ,10,LG,0.2885602991047648,0.7114397008952353,4899000.0,205.0,2.0,7.114397008952354,257
108,110,Tủ lạnh Hitachi Inverter 540 lít R-FW690PGV7 GBK ,14,Hitachi,0.518271399331744,0.4817286006682558,24490000.0,540.0,3.0,6.744200409355581,84
109,110,Tủ lạnh Hitachi Inverter 540 lít R-FW690PGV7 GBK ,14,Hitachi,0.2663101846558687,0.7336898153441312,24490000.0,540.0,3.0,10.271657414817838,132
110,111,Tủ Lạnh Instaview Door In Door LG GR-X247JS (601L) - Hàng chính hãng ,3,LG,0.5783674793371557,0.42163252066284423,35680000.0,593.0,2.0,1.2648975619885328,26
111,113,Tủ Lạnh Inverter Sharp SJ-FX680V-ST (605L) - Hàng chính hãng ,7,Sharp,0.23776531468740103,0.762234685312599,16499000.0,678.0,4.0,5.335642797188193,29
112,114,Tủ Lạnh Inverter Sharp SJ-X281E-DS (253L)-Hàng Chính Hãng ,17,Sharp,0.31817935072744075,0.6818206492725591,5279000.0,271.0,2.0,11.590951037633506,264
113,115,Tủ lạnh Electrolux Inverter 250 lít EBB2802H-H ,11,Electrolux,0.28998809469989695,0.7100119053001032,7190000.0,291.25,2.0,7.8101309583011345,231
114,116,Tủ Lạnh Inverter Samsung RB27N4180B1/SV (276L) - Hàng chính hãng ,6,Samsung,0.3945274322098096,0.6054725677901903,9990000.0,276.0,2.0,3.632835406741142,203
