index,name,price,number_of_comment,pin,brand,front_cam,rear_cam,weight,RAM,screen_size,comment
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Bản màu đen ảnh sp là nokia 105 single SIM còn 105 dual SIM thì mặt trc khác Biết giống nhau vậy chọn màu xanh chứ k chọn mài đen
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,màu đẹp độc lạ máy cũng k khác gì đời 2017 rất hài lòng về nokia và tiki
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Dòng featured phone của Nokia thì không cần bần cãi về chất lượng rồi
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Điện thoại bền đẹp pin trâu xài hoài ko hết pin Dùng cho công việc nghe gọi thì quá okkkkkkkkkkkkkkkkkkkkkkkkk
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Giao hàng nhanh Điện thoại nhỏ xinh Chỉ là loa hơi be bé xíu thôi chứ vẫn dùng oke
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,sp tạm thời thấy rất hài lòng nhưng để đánh giá chất lượng phải  thêm thời gian
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Hư mất cục sạc rồi Về sạc thử thì hỏng rồi Đổi thì mất tg nên cái khác
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Máy tốt mà mới mua đã nghe tin sắp bỏ 2g 
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Máy đẹp cầm chắc tay dễ sử dụng âm thanh đủ to
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,riêng e loai san phâm nây rât tôt nhưng sau nay ko biêt no ra lam sao thôi
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Vừa rẻ vừa đáng tiền Rất tốt với chức năng đơn giản
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,ok ok ok ok  Hiza store chuyên cung cấp sim data 4G  sim max data thiết bị phát wifi di động USB DCOM
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Đúng hàng chính hãng giao hàng nhanh đóng gói tốt
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Giao hàng nhanh Sản phẩm màu đẹp ưng ý ghê vậy á
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,nhỏ gọn ngoại quan okmàn hình chữ rất nhỏ độ phân giải kém đọc rất khó Tiki giao hàng chậm
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,sản phẩm rất tuyệt vời đóng gói cẩn thận cảm ơn shop cảm ơn tiki nhé
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Cảm ơn shop tiki Vậy là tôi đã nhận hàng giống như sản phẩm đã đặt
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Hài lòng tuyệt đối pin xài được lâu dùng 2 tháng rồi vẫn chưa tìm ra lỗi nào của máy
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Hàng chính hãng giao hàng siêu nhanh nhiều ưu đãi tin dùng tiki trading
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Máy ngon chạy tốt pin khoẻ nhưng bàn phím hơi bé nếu so với tay mình
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Tôi đặt giao hàng nhanh 2 tiếng nhưng ngày hôm sao mới giao mà vẫn lấy giá 2 tiếng
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,trên thân máy và pin chỉ có tem Nokia tròn mà chắc xài con này ko cần bảo hành đâu nhỉ
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Sản phẩm nhỏ gọn thích hợp chuyên nghe và gọi âm thanh rõ thương hiệu chuẩn
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,dùng nghe gọi rất ok sạc đầy dùng dc 4 tới 5 ngày rất tiện lợi
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Máy ổn sạc 1 lần xài 1 tuần đáng đồng tiền bát gạo
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,sản phẩm sài tốt nhưng giá hơi cao so với ngoài cửa tiệm
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,hàng đúng như mô tả điện thoải dùng tốt mẫu đơn giản chỉ gọi điện và nhắn tin
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Hài Lòng Kích cỡ nhỏ vừa tay màu tươi xinh chức năng nghe gọi tốt
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Pin kém Mua làm máy phụ mà 2 ngày sạc 1 lần mặc dù chả dùng gì
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,mua 1 tuần rồi mà hàng chưa về ko biết có nhận hàng nữa ko lâu quá
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,pin dùng không bền chỉ được 3 ngày đã gần hết điện
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Pin xài đc cỡ 1 ngày  cái nokia cũ mình xài để cả tuần còn đc
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,sản phẩm tốt giống như mô tả cảm ơn  GIao hàng nhanh hơn dự kiến
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Hàng chuẩn dùng lâu hết pin 23 ngày loa to rõ
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Nghe tốt còn pin thì chưa biết phải xài mới biết
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Mua màu xanh giao màu hồng nhưng không quan trọng  Chất lượng tốt
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,sản phẩm nguyên seal ok
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Điện thoại pin tốt bàn phím nhạy nhanh nói chung chất lượng ổn định
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,bbhbbbnnNkdldokdkdkkdkdkroeoodđokkkdkdkdkdkdkdkdkdkdkdkkd
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,điện thoại tương đối ổn pin lâu hiện chưa có vấn đề gì
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Hàng Sài ok thoải mái bin traiu quá ok  Thanh toán qua môm giảm tiền nua
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,máy còn mới chắc chắn shop giao hàng nhanh
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Chất lượng sản phẩm ok giao hàng cũng khá nhanh cho shop 5
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Máy mới 100 phần trăn nghe gọi to rõ ràng có điều rung hơi yếu
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Loa hơi nhỏ phải bật loa ngoài nếu chạy ngoài đường
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Sản phẩm khá tốt nhưng ko có đệm trong hộp
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,điện thoại xài rất tốt cảm ơn shop và tiki đã hỗ trợ shop sớm
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,mở máy không lên nguồn thì phải làm sao
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,tốt loa to nghe gọi ổn phù hợp cho người hay gọi điện
