index,name,price,number_of_comment,brand,size,weight,camera,comment
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,Sản phẩm ôk nhưng giao hàng rất lâu đặt hàng và thanh toán từ ngày 2409 mãi đến ngày 0210 mới giao hàng đã vậy còn giao máy trước túi đựng máy giờ này cũng chưa thấy giao để dự kiến là tuần sau Vllll là bán hàng có tâm
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,Nhờ Tiki kiểm tra lại gấp mình đã nhận được máy Nhưng phụ kiện kèm theo thiếu dây cáp và bảo hành  Chưa dùng nên chưa biết chất lượng thế nào nhưng mong Tiki phản hồi sớm trường hợp thiếu phụ kiện trong vòng 24h nhận được phản hồi giúp mình  Tks
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,Lần đầu tiên theo đuổi nhiếp ảnh đây có lẽ là một sự lựa chọn hoàn hảo nhất máy tốt chuẩn Tiki giao hàng nhanh hàng được bào vệ cẩn thận Khi mua máy ảnh còn được tặng 1 khóa nhiếp ảnh miễn phí nữa Sẽ ủng hộ Tiki tiếp trong tương lai
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,Giao hàng nhanh kể cả ngày Chủ Nhật Đóng gói cẩn thận có kèm Thẻ bảo hành nhưng thời hạn bị hụt mất 3 tháng và các phụ kiện đầy đủ Máy mới được tặng kèm túi và thẻ nhớ Hài lòng với dịch vụ của TIKI Trading
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,Mình bị cận nhẹ nên khi nhìn vào ống ngắm các thông số điện tử bên trong bị nhòe nhưng máy không có dioptric adjustment knob để chỉnh Tiki đóng gói chắc chắn giao hàng nhanh 2h đầy đủ phụ kiện và thẻ bảo hành
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,Giao hàng nhanh đặt chiều hôm trước sáng hôm sau có luôn nhưng thấy review có thẻ nhớ mà lúc nhận không có không biết có giao thiếu hay không chất lượng thì dùng sẽ đánh giá sau
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,máy ảnh có dây đeo nhưng không có sẵn thẻ nhớ giao hàng nhanh đóng gói cẩn thận thẻ bảo hành ok túi đựng máy ảnh đẹp hàng chính hãng lê bảo minh
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,Sản phẩm tốt giao hàng nhanh Chỉ có điều hỏi shop có đi kèm thẻ nhớ không thì mãi không trả lời làm nhận hàng về thấy không có thẻ nhớ mới biết
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,TiKi kiểm tra lại đơn hàng Lê Vũ Thường sđt 0347178483 địa chỉ 77 trần nhân tôn giao hàng thiếu túi đựng bổ sung giao hàng nhé máy đem về ko biết để đâu thank tiki
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,đúng như hình hàng chuẩn khổ cái không có thẻ nhớ lại phải ra Mediamart gần nhà để mua
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,đơn mình đã hủy trên app vì đạt hàng mà giao quá lâu nhưng đơn vẫn tiếp tục được xử lý giao người nhà mình không biết nên đã nhận
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,tưởng có thẻ nhớ bóc ra mới biết ko có
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,Máy sử dụng 1 tuần thấy ổn chưa biết sau này thế nào Tiki giao hàng uy tín mua hàng rất nhiều ở đây Sẽ còn ủng hộ nhiều nữa
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,tiki giao hàng nhanh mặc dù có tách giao 2 lần nhưng vẫn giao nhanh đóng gói cẩn thận máy ảnh dễ sử dụng đối với người mới ảnh đẹp
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,Máy OKgiáo hơi trểkhách hàng kẹt công ty về khô kịpthái độ nhân viên hơi hối khách nên chủ động giáo hàng buổi chiều tốt hơn giáo buổi trưa 
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,Chất lượng sản phẩmdịch vụ rất tốt Gửi sản phẩmvé dịch vụ nhanh Shop tư vấn hướng dẫn cực kỳ nhiệt tình
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,máy ảnh có dây đeo nhưng không có sẵn thẻ nhớ giao hàng nhanh đóng gói cẩn thận thẻ bảo hành ok túi đựng máy ảnh đẹp hàng chính hãng lê bảo minh
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,Sản phẩm tốt giao hàng nhanh Chỉ có điều hỏi shop có đi kèm thẻ nhớ không thì mãi không trả lời làm nhận hàng về thấy không có thẻ nhớ mới biết
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,TiKi kiểm tra lại đơn hàng Lê Vũ Thường sđt 0347178483 địa chỉ 77 trần nhân tôn giao hàng thiếu túi đựng bổ sung giao hàng nhé máy đem về ko biết để đâu thank tiki
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,đúng như hình hàng chuẩn khổ cái không có thẻ nhớ lại phải ra Mediamart gần nhà để mua
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,đơn mình đã hủy trên app vì đạt hàng mà giao quá lâu nhưng đơn vẫn tiếp tục được xử lý giao người nhà mình không biết nên đã nhận
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,tưởng có thẻ nhớ bóc ra mới biết ko có
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,Máy sử dụng 1 tuần thấy ổn chưa biết sau này thế nào Tiki giao hàng uy tín mua hàng rất nhiều ở đây Sẽ còn ủng hộ nhiều nữa
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,tiki giao hàng nhanh mặc dù có tách giao 2 lần nhưng vẫn giao nhanh đóng gói cẩn thận máy ảnh dễ sử dụng đối với người mới ảnh đẹp
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,Máy OKgiáo hơi trểkhách hàng kẹt công ty về khô kịpthái độ nhân viên hơi hối khách nên chủ động giáo hàng buổi chiều tốt hơn giáo buổi trưa 
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,Chất lượng sản phẩmdịch vụ rất tốt Gửi sản phẩmvé dịch vụ nhanh Shop tư vấn hướng dẫn cực kỳ nhiệt tình
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,Ship hàng nhanh máy test oke nhưng hàng giao thiếu túi đựng máy ảnh Giờ máy để trần không túi bảo vệ sót máy lắm
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,máy rat tot đepcho anh chup vua yhai long voi may nayĐanh gia 5 sao
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,sản phẩm tốt nhưng trong hộp không có thẻ nhớ sd
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,máy đẹp Chỉ là ko có thẻ nhớ pải đi mua ngoài
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,Tiki giao hàng rất nhanh máy sử dụng trong tuần ok Đang hào hứng đến với đam mê nhiếp ảnh
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,Shop giao thiếu thẻ nhớ nên không thể chụp được Đề nghị shop trả lời
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,Ở chế độ live view chụp hình không đượccần hỗ trợ gấp
