,index,name,brand,price,number_of_comment,weight(g),camera(mp),Negative,Positive,rank
81,81,Máy Ảnh Fujifilm X-T4 -Hàng chính hãng,Fujifilm,39350000.0,0.0,526.0,266.0,0.5,0.5,34
82,82,Máy Ảnh Canon EOS 1D X Mark II Body (Lê Bảo Minh) - Hàng Chính Hãng,Canon,122000000.0,1.0,708.0,314.0,0.11507437579167958,0.8849256242083205,3
83,83,Máy ảnh Canon Powershot SX740HS - Hàng chính hãng,Canon,10890000.0,0.0,326.2,242.6,0.5,0.5,51
84,84,Máy Ảnh Fujifilm Instax Mini 90 Neo (Nâu) - Hàng Chính Hãng,Fujifilm,3490000.0,2.0,296.0,90.2,0.2232747965118483,0.7767252034881518,128
85,85,Máy Ảnh Sony Cyber-shot RX100 V - Hàng Chính Hãng,Sony,19990000.0,5.0,516.2,230.0,0.2943598465635275,0.7056401534364725,152
86,86,Máy Ảnh Fujifilm X-T20 (24.3MP) + Lens 18-55mm - Hàng Chính Hãng,Fujifilm,23990000.0,22.0,383.0,196.6,0.24548433896853863,0.7545156610314617,186
87,87,Máy Ảnh Sony A6000 | Body Đen | Chính hãng,Sony,10990000.0,0.0,326.2,242.6,0.5,0.5,52
88,88,Canon 5D MARK III + EF 24-105mm F/4 IS - Hàng Chính Hãng,Canon,59990000.0,6.0,950.0,223.0,0.23770944569973504,0.7622905543002649,159
89,89,Máy chụp hình mini cho bé Aturos ES-P10 tích hợp camera 5MP  chơi game  nghe nhạc  quay video HD - Hàng chính hãng,Aturos,999000.0,1.0,500.0,5.0,0.5485065065378837,0.4514934934621163,166
90,90,Máy Ảnh Fujifilm X-T30 + Lens 15-45mm - Hàng Chính Hãng,Fujifilm,24990000.0,0.0,365.2,261.0,0.5,0.5,43
91,91,Máy ảnh Nikon P950 (Hàng Nhập Khẩu),Nikon,17990000.0,0.0,899.0,186.2,0.5,0.5,101
92,92,Máy Ảnh Sony RX0 - Hàng Chính Hãng,Sony,12990000.0,1.0,301.2,226.2,0.12018117808493779,0.8798188219150622,6
93,93,Máy ảnh Sony A6000 Trắng | Kit 16-50 | Chính hãng,Sony,12990000.0,0.0,301.2,226.2,0.5,0.5,73
94,94,Máy Ảnh Canon Powershot G5X - Hàng Chính Hãng,Canon,14090000.0,1.0,377.0,202.0,0.4433621036364498,0.5566378963635502,115
95,95,Canon EOS 5D Mark IV Body (Lê Bảo Minh) - Hàng Chính Hãng,Canon,59990000.0,0.0,890.0,314.0,0.5,0.5,9
96,96,Máy Ảnh Canon EOS RP + Lens 24-105mm (Hàng Chính Hãng),Canon,54990000.0,0.0,485.0,262.0,0.5,0.5,42
97,97,Máy Ảnh Fujifilm X-T4 + Lens 18-55mm-Hàng chính hãng,Fujifilm,48990000.0,0.0,526.0,258.6,0.5,0.5,44
98,98,Máy ảnh Sony Alpha A7R Mark IV - Hàng chính hãng,Sony,84990000.0,0.0,708.0,314.0,0.5,0.5,10
99,99,Máy Ảnh Nikon Coolpix P1000 (16MP) - Hàng Chính Hãng,Nikon,25290000.0,0.0,365.2,16.0,0.5,0.5,156
100,100,Máy Ảnh Fujifilm X-Pro2 (24.3MP) Body - Hàng Chính Hãng,Fujifilm,39990000.0,0.0,552.4,266.0,0.5,0.5,35
101,101,Máy ảnh HX99 với ống kính zoom 24-720mm - Chính hãng,Sony,10590000.0,0.0,326.2,242.6,0.5,0.5,53
102,102,Máy Ảnh Sony Cyber-Shot DSC-RX10 III - Hàng Chính Hãng,Sony,27990000.0,0.0,498.6,196.4,0.5,0.5,91
103,103,Máy Ảnh Nikon D7500 Body (VIC Nikon) - Hàng Chính Hãng,Nikon,28500000.0,0.0,720.0,196.4,0.5,0.5,92
104,104,Máy Ảnh Canon EOS 90D Body - Hàng Chính Hãng,Canon,27790000.0,0.0,498.6,196.4,0.5,0.5,93
105,105,Máy Ảnh Fujifilm X-E3 + Lens 15-45mm - Hàng Chính Hãng,Fujifilm,16190000.0,0.0,424.2,186.0,0.5,0.5,102
106,106,Máy In Ảnh Thông Minh Từ Smartphone Cầm Tay DMP-100 - Thiết Kế Tiện Lợi In Ảnh Lấy Liền - Màu Hồng Patel,OEM,2724000.0,0.0,165.6,90.2,0.5,0.5,132
107,107,Máy ảnh Canon loại in ảnh ngay CV123 - Hàng chính hãng Lê Bảo Minh,Canon,4200000.0,0.0,375.4,90.2,0.5,0.5,133
108,108,Máy Ảnh Sony RX100 VII - Hàng Chính Hãng,Sony,27990000.0,0.0,302.0,196.4,0.5,0.5,94
109,109,Máy ảnh Sony Cyber-shot DSC-RX100 VII (RX100M7) - Hàng chính hãng - kèm thẻ nhớ 64GB và Bảng tay cầm VCT-SGR1,Sony,29000000.0,1.0,382.2,196.4,0.15213554982749167,0.8478644501725082,22
110,110,Canon 200D mark II Kit 18-55MM IS STM ( Trắng) - Hàng chính hãng,Canon,15990000.0,0.0,436.4,174.2,0.5,0.5,112
111,111,Máy Ảnh Panasonic Lumix LX100 II (Chính Hãng),Panasonic,20500000.0,0.0,464.8,230.0,0.5,0.5,62
112,112,Máy Ảnh Fujifilm X-E3 + Lens 15-45mm Silver - Hàng Chính Hãng,Fujifilm,16190000.0,0.0,424.2,186.0,0.5,0.5,103
113,113,Máy Ảnh Canon IXUS 185 - Đen (Tặng Kèm Thẻ Nhớ Và Túi Đựng Máy Ảnh) - Hàng Chính Hãng,Canon,2500000.0,2.0,165.6,90.2,0.36152765477460563,0.6384723452253945,151
114,114,Máy Ảnh Sony RX100 IV (Chính Hãng),Sony,19090000.0,0.0,468.8,201.0,0.5,0.5,81
115,115,MÁY ẢNH CHỤP IN LIỀN LOMO'INSTANT MÀU TRẮNG + 3 LENSES hàng chính hãng,Lomography,3160000.0,0.0,312.4,90.2,0.5,0.5,134
116,116,Máy Ảnh Sony Alpha A6400 Body + Lens 18-135mm - Hàng Chính Hãng,Sony,27990000.0,2.0,403.0,196.4,0.15213554982749167,0.8478644501725082,71
117,117,Máy ảnh Fujifilm X-Pro 3 - Hàng chính hãng,Fujifilm,41990000.0,1.0,497.0,266.0,0.25665435334811293,0.7433456466518871,18
118,118,Máy Ảnh Fujifilm X-T4 + Lesn 16-80mm-Hàng chính hãng,Fujifilm,51990000.0,0.0,526.0,258.6,0.5,0.5,45
119,119,Máy Ảnh Canon Powershot G3X - Hàng Chính Hãng,Canon,16990000.0,0.0,733.0,202.0,0.5,0.5,80
120,120,Máy ảnh Canon EOS 90D Body + Lens 18-55mm - Hàng chính hãng,Canon,34190000.0,0.0,498.6,209.8,0.5,0.5,79
121,121,MÁY ẢNH CHỤP IN LIỀN LOMO’INSTANT AUTOMAT MÀU PLAYA JARDÍN(PIN MÁY  REMOTE) hàng chính hãng,Lomography,4060000.0,1.0,375.4,90.2,0.15213554982749167,0.8478644501725082,108
122,122,Máy Ảnh Mirrorless Canon EOS M5 + Lens 15-45mm - Hàng Chính Hãng,Canon,19990000.0,2.0,380.0,230.0,0.35180921463851134,0.6481907853614887,109
123,123,Máy Ảnh Canon EOS 200D Kit 18-55mm (Đen) - Hàng Chính Hãng - Tặng Kèm Thẻ Nhớ Và Túi Đựng Máy Ảnh,Canon,15790000.0,0.0,406.0,174.2,0.5,0.5,113
124,124,Máy Ảnh Sony DSC W810 - Hàng Chính Hãng,Sony,2290000.0,2.0,127.0,90.2,0.4368789700194519,0.563121029980548,158
125,125,Máy Ảnh Nikon Z6 Body - Hàng Chính Hãng,Nikon,46000000.0,0.0,585.0,266.2,0.5,0.5,29
126,126,Máy Ảnh Canon EOS M6 Mark II Kit 15-45mm IS STM (Tặng Thẻ 16GB) - Hàng Chính Hãng,Canon,23990000.0,0.0,408.0,196.6,0.5,0.5,84
127,127,Máy Ảnh Nikon D610 (Body) - Hàng Chính Hãng,Nikon,18990000.0,1.0,850.0,243.0,0.2569832212491365,0.7430167787508636,21
128,128,Máy Ảnh Sony DSC W810 - 20.1 Megapixel  Zoom 6x - Hàng Chính Hãng,Sony,1990000.0,13.0,120.0,201.0,0.3302199828951572,0.6697800171048428,177
129,129,Máy Ảnh Selfie Lấy Liền Fujifilm Instax Mini 70 - Đen - Hàng Chính Hãng,Fujifilm,2690000.0,2.0,165.6,90.2,0.16648946684484628,0.8335105331551536,122
130,130,Máy Ảnh Mini Cao Cấp Chụp Hình Cho Bé Kèm Thẻ Nhớ 32G,OLAPLE,699000.0,1.0,305.4,90.2,0.30246779507801463,0.6975322049219853,124
131,131,Máy ảnh Sony A7RIII Chính hãng | ILCE-7RM3,Sony,57990000.0,0.0,713.4,265.2,0.5,0.5,40
132,132,Máy Ảnh Fujifilm X-S10 + Lens 16-80mm - Hàng Chính Hãng,Fujifilm,34990000.0,0.0,570.4,290.2,0.5,0.5,19
133,133,MÁY ẢNH CHỤP IN LIỀN LOMO'INSTANT AUTOMAT & LENSES MÀU SOUTH BEACH (PIN MÁY  REMOTE) hàng chính hãng,Lomography,5400000.0,0.0,328.8,137.8,0.5,0.5,117
134,134,Máy Ảnh Sony Cyber-Shot DSC-RX100 VI (20.1MP) (Đen) - Hàng Chính Hãng,Sony,26490000.0,0.0,301.0,201.0,0.5,0.5,82
135,135,Máy Ảnh Fujifilm X-T2 (Body) - Hàng Chính Hãng,Fujifilm,31490000.0,0.0,507.0,278.0,0.5,0.5,24
136,136,Máy Ảnh NiKon D5300 Body - Hàng Nhập Khẩu,Nikon,10490000.0,0.0,480.0,242.6,0.5,0.5,54
137,137,Máy Ảnh Nikon D850 Body (45.7 MP) - Hàng Chính Hãng,Nikon,69990000.0,0.0,763.0,457.0,0.5,0.5,2
138,138,Máy Ảnh Sony Alpha A7S Mark II Body - Hàng chính hãng,Sony,43990000.0,0.0,627.0,122.0,0.5,0.5,121
139,139,Máy Ảnh Nikon Z7 Body - Hàng Chính Hãng,Nikon,69900000.0,0.0,675.0,314.0,0.5,0.5,11
140,140,Máy Ảnh Canon EOS M6 Mark II Body (Tặng Thẻ 16GB) - Hàng Chính Hãng,Canon,19990000.0,0.0,408.0,230.0,0.5,0.5,63
141,141,MÁY ẢNH CHỤP IN LIỀN LOMO’INSTANT AUTOMAT MÀU DAHAB (PIN MÁY  REMOTE) hàng chính hãng,Lomography,4400000.0,0.0,375.4,90.2,0.5,0.5,135
142,142,Máy Ảnh Fujifilm X-E3 + 23mm F2 - Hàng Chính hãng,Fujifilm,19550000.0,0.0,406.8,230.0,0.5,0.5,64
143,143,Máy Ảnh Sony A6000 Đen | Kit 16-50 Đen | Chính hãng,Sony,12990000.0,0.0,301.2,226.2,0.5,0.5,74
144,144,Máy Ảnh Selfie Lấy Liền Fujifilm Instax Mini 70 - Vàng Đồng - Hàng Chính Hãng,Fujifilm,2690000.0,0.0,165.6,90.2,0.5,0.5,136
145,145,Máy ảnh Fujifilm X-T20 + Kit 18-55mm f/2.8-4 - Bạc - Hàng Chính Hãng,Fujifilm,23030000.0,0.0,446.4,196.6,0.5,0.5,85
146,146,Máy Ảnh Panasonic Lumix S1 Body - Hàng Chính Hãng,Panasonic,64990000.0,0.0,699.0,314.0,0.5,0.5,12
147,147,Máy ảnh Fujifilm X-S10 + Ống kính XF 15-45mm - Chính hãng,Fujifilm,25990000.0,0.0,361.2,196.4,0.5,0.5,95
148,148,Máy ảnh chụp in liền Diana Instant Square - Hàng Chính Hãng,Lomography,2560000.0,0.0,165.6,90.2,0.5,0.5,137
149,149,Máy Ảnh Olympus OM-D E-M10 Mark III + Lens Kit 14-42mm EZ (Bạc) - Hàng Chính Hãng,Olympus,13990000.0,0.0,310.4,226.0,0.5,0.5,78
150,150,Máy Ảnh Canon PowerShot G5X Mark II - Hàng Chính Hãng,Canon,22290000.0,0.0,340.0,242.0,0.5,0.5,57
151,151,MÁY ẢNH FUJIFILM X-T30 Body (Charcoal) - Chính hãng,Fujifilm,21110000.0,0.0,437.4,230.0,0.5,0.5,65
152,152,Máy ảnh Nikon D750 BODY - Hàng Chính Hãng,Nikon,29990000.0,1.0,17.0,196.4,0.2785721821983697,0.7214278178016301,59
153,153,Máy Ảnh Olympus Om-D E-M10 Mark Ii Kit 14-42mm (Silver) - Hàng Chính Hãng,Olympus,12800000.0,0.0,410.0,226.2,0.5,0.5,75
154,154,MÁY ẢNH CHỐNG NƯỚC RICOH WG-50 - Hàng chính hãng, Ricoh,5990000.0,0.0,365.0,137.8,0.5,0.5,118
155,155,Máy Ảnh Selfie Lấy Liền Fujifilm Instax Mini 70 - Xanh - Hàng Chính Hãng,Fujifilm,2690000.0,2.0,165.6,90.2,0.2336292257329822,0.7663707742670178,145
156,156,Máy Ảnh Fujifilm X-H1 Body - Hàng Chính Hãng,Fujifilm,31990000.0,1.0,501.6,278.0,0.4855224809985582,0.5144775190014418,72
157,157,Máy ảnh Olympus Pen F Body_Bạc - Hàng Chính Hãng,Olympus,20000000.0,0.0,425.6,230.0,0.5,0.5,66
158,158,Máy Ảnh Fujifilm X-E3 + 23mm F2 - Hàng Chính hãng,Fujifilm,19550000.0,0.0,406.8,230.0,0.5,0.5,67
159,159,Máy Ảnh Nikon Z7 + Kit Nikkor Z 24-70mm f/4 S - Hàng Chính Hãng,Nikon,83500000.0,0.0,675.0,314.0,0.5,0.5,13
160,160,Máy ảnh chụp in liền Lomo'Instant Automat Glass màu Magellan (pin máy  remote) hàng chính hãng,Lomography,5060000.0,0.0,300.8,90.2,0.5,0.5,138
161,161,Máy Ảnh Canon IXUS 190 (Lê Bảo Minh) - Xanh - Hàng Chính Hãng,Canon,3990000.0,0.0,375.4,90.2,0.5,0.5,139
162,162,Máy Ảnh Fujifilm X-E3 Body - Hàng Chính Hãng,Fujifilm,17490000.0,1.0,337.0,186.2,0.152796469967099,0.8472035300329008,25
