,index,name,brand,price,number_of_comment,hardware_size(GB),RAM(GB),display(inch),Negative,Positive,rank
57,57,Laptop HP Pavilion x360 14-dw0061TU 19D52PA (Core i3-1005G1/ 4GB DDR4 3200MHz/ 512GB PCIe NVMe M.2/ 14 FHD IPS Touch/ Win10) - Hàng Chính Hãng ,HP,14099000.0,4.0,512.0,4.0,14.0,0.12573619817091763,0.8742638018290825,108
58,58,Laptop Dell Vostro V5490D (Core i5-10210U/ 8GB DDR4 2666MHz/ 256GB M.2 PCIe NVMe/ MX250 2GB GDDR5/ 14 FHD/ Win10) - Hàng Chính Hãng ,Dell,17369000.0,0.0,256.0,8.0,14.0,0.5,0.5,136
59,59,Laptop HP Pavilion 14-ce1011TU 5JN17PA Core i3-8145U/ Win10 (14 FHD IPS) - Hàng Chính Hãng ,HP,10209000.0,2.0,1.0,4.0,14.0,0.3195779148402395,0.6804220851597604,245
60,60,Laptop Dell Vostro 5402 V5402A (Core i5-1135G7/ 8GB DDR4 3200MHz/ 256GB SSD M.2 PCIE/ MX330 2GB GDDR5/ 14 FHD WLED/ Win10) - Hàng Chính Hãng ,Dell,18699000.0,1.0,256.0,8.0,14.0,0.14995900680293864,0.8500409931970615,184
61,61,Laptop HP Envy 13-ba1031TU 2K0B7PA (Core i7-1165G7/ 16GB DDR4 2933MHz (Onboard)/ 1TB PCI NVMe/ 13.3 FHD IPS/ Win10 + Office Home & Student) - Hàng Chính Hãng ,HP,29799000.0,2.0,1.0,16.0,13.3,0.40793850433779405,0.592061495662206,228
62,62,Laptop Dell Inspiron 5490 70196706 Core i7-10510U/ MX230 2GB/ Win10 (14 FHD) - Hàng Chính Hãng ,Dell,21590000.0,3.0,512.0,8.0,14.0,0.31332221919813696,0.6866777808018631,88
63,63,Laptop MSI GF63 Thin 10SCSR-830VN (Core i7-10750H/ 8GB DDR4 2666MHz/ 512GB SSD M.2 PCIE/ GTX 1650Ti 4GB GDDR6 with Max-Q Design/ 15.6 FHD IPS  144Hz/ Win10) - Hàng Chính Hãng ,MSI,22999000.0,1.0,512.0,8.0,15.6,0.14995900680293864,0.8500409931970615,84
64,64,Laptop Asus Vivobook X509JP-EJ012T (Core i5-1035G1/ 4GB DDR4 2400MHz/ 1TB 5400rpm  x1 slot SSD M.2/ MX330 2GB GDDR5/ Win10) - Hàng Chính Hãng ,Asus,13999000.0,1.0,1.0,4.0,15.6,0.07263417094457518,0.9273658290554251,248
65,65,Laptop Asus Vivobook D509DA-EJ800T (AMD Ryzen 3-3200U/ 4GB DDR4 2400MHz Onboard/ 256GB PCIe NVMe/ 15.6 FHD/ Win10) - Hàng Chính Hãng ,Asus,9669000.0,0.0,256.0,4.0,15.6,0.5,0.5,144
66,66,Laptop Asus VivoBook A512FA-EJ2007T (Core i3-10110U/ 4GB DDR4 2400MHz/ 256GB SSD M.2 PCIE G3X2/ 15.6 FHD/ Win10) - Hàng Chính Hãng ,Asus,11199000.0,1.0,256.0,4.0,15.6,0.14995900680293864,0.8500409931970615,186
